55,00,001,0.005,0.005,0.005,0.005,19940101,99991231
55,00,003,0.005,0.005,0.005,0.005,19880401,99991231
55,00,005,0.005,0.005,0.005,0.005,19860401,99991231
55,00,007,0.005,0.005,0.005,0.005,19910401,99991231
55,00,009,0.0,0.0,0.0,0.0,19800101,20171231
55,00,009,0.005,0.005,0.005,0.005,20180101,99991231
55,00,011,0.005,0.005,0.005,0.005,19870401,99991231
55,00,013,0.005,0.005,0.005,0.005,19890401,99991231
55,00,015,0.0,0.0,0.0,0.0,19800101,20180331
55,00,015,0.005,0.005,0.005,0.005,20180401,99991231
55,00,017,0.005,0.005,0.005,0.005,19910401,99991231
55,00,019,0.0,0.0,0.0,0.0,19800101,20081231
55,00,019,0.005,0.005,0.005,0.005,20090101,99991231
55,00,021,0.005,0.005,0.005,0.005,19890401,99991231
55,00,023,0.005,0.005,0.005,0.005,19910401,99991231
55,00,025,0.005,0.005,0.005,0.005,19910401,99991231
55,00,027,0.005,0.005,0.005,0.005,19940401,99991231
55,00,029,0.005,0.005,0.005,0.005,19880401,99991231
55,00,031,0.005,0.005,0.005,0.005,19910401,99991231
55,00,033,0.005,0.005,0.005,0.005,19860401,99991231
55,00,035,0.005,0.005,0.005,0.005,19990101,99991231
55,00,037,0.0,0.0,0.0,0.0,19800101,20060630
55,00,037,0.005,0.005,0.005,0.005,20060701,99991231
55,00,039,0.0,0.0,0.0,0.0,19800101,20100331
55,00,039,0.005,0.005,0.005,0.005,20100401,99991231
55,00,041,0.005,0.005,0.005,0.005,19950401,99991231
55,00,043,0.005,0.005,0.005,0.005,20020401,99991231
55,00,045,0.005,0.005,0.005,0.005,20030101,99991231
55,00,047,0.005,0.005,0.005,0.005,19990701,99991231
55,00,049,0.005,0.005,0.005,0.005,19870401,99991231
55,00,051,0.005,0.005,0.005,0.005,19910401,99991231
55,00,053,0.005,0.005,0.005,0.005,19870401,99991231
55,00,055,0.005,0.005,0.005,0.005,19910401,99991231
55,00,057,0.005,0.005,0.005,0.005,19920401,99991231
55,00,059,0.005,0.005,0.005,0.005,19910401,99991231
55,00,061,0.0,0.0,0.0,0.0,19800101,20170331
55,00,061,0.005,0.005,0.005,0.005,20170401,99991231
55,00,063,0.005,0.005,0.005,0.005,19900401,99991231
55,00,065,0.005,0.005,0.005,0.005,20010401,99991231
55,00,067,0.005,0.005,0.005,0.005,19880401,99991231
55,00,069,0.005,0.005,0.005,0.005,19870401,99991231
55,00,071,0.0,0.0,0.0,0.0,19800101,20241231
55,00,071,0.005,0.005,0.005,0.005,20250101,99991231
55,00,073,0.005,0.005,0.005,0.005,19870401,99991231
55,00,075,0.005,0.005,0.005,0.005,20011001,99991231
55,00,077,0.005,0.005,0.005,0.005,19890401,99991231
55,00,078,0.0,0.0,0.0,0.0,19800101,20200331
55,00,078,0.005,0.005,0.005,0.005,20200331,99991231
55,00,079,0.005,0.005,0.005,0.005,19910401,20231231
55,00,079,0.009,0.009,0.009,0.009,20240101,99991231
55,00,081,0.005,0.005,0.005,0.005,19900401,99991231
55,00,083,0.005,0.005,0.005,0.005,19940701,99991231
55,00,085,0.005,0.005,0.005,0.005,19870401,99991231
55,00,087,0.0,0.0,0.0,0.0,19800101,20191231
55,00,087,0.005,0.005,0.005,0.005,20200101,99991231
55,00,089,0.005,0.005,0.005,0.005,19910401,99991231
55,00,091,0.005,0.005,0.005,0.005,19910401,99991231
55,00,093,0.005,0.005,0.005,0.005,19880401,99991231
55,00,095,0.005,0.005,0.005,0.005,19880401,99991231
55,00,097,0.005,0.005,0.005,0.005,19890401,99991231
55,00,099,0.005,0.005,0.005,0.005,19930101,99991231
55,00,101,0.0,0.0,0.0,0.0,19800101,20250331
55,00,101,0.005,0.005,0.005,0.005,20250401,99991231
55,00,103,0.005,0.005,0.005,0.005,19890401,99991231
55,00,105,0.0,0.0,0.0,0.0,19800101,20070331
55,00,105,0.005,0.005,0.005,0.005,20070401,99991231
55,00,107,0.005,0.005,0.005,0.005,19870401,99991231
55,00,109,0.005,0.005,0.005,0.005,19870401,99991231
55,00,111,0.005,0.005,0.005,0.005,19920401,99991231
55,00,113,0.005,0.005,0.005,0.005,19870401,99991231
55,00,115,0.005,0.005,0.005,0.005,19900401,99991231
55,00,117,0.0,0.0,0.0,0.0,19800101,20161231
55,00,117,0.005,0.005,0.005,0.005,20170101,99991231
55,00,119,0.005,0.005,0.005,0.005,19990701,99991231
55,00,121,0.005,0.005,0.005,0.005,19951001,99991231
55,00,123,0.005,0.005,0.005,0.005,19970101,99991231
55,00,125,0.005,0.005,0.005,0.005,19880401,99991231
55,00,127,0.005,0.005,0.005,0.005,19870401,99991231
55,00,129,0.005,0.005,0.005,0.005,19910401,99991231
55,00,131,0.005,0.005,0.005,0.005,19990101,99991231
55,00,133,0.0,0.0,0.0,0.0,19800101,99991231
55,00,135,0.005,0.005,0.005,0.005,19890401,99991231
55,00,137,0.005,0.005,0.005,0.005,19900401,99991231
55,00,139,0.0,0.0,0.0,0.0,19800101,99991231
55,00,141,0.005,0.005,0.005,0.005,20040101,99991231
55,01,00100,0.0,0.0,0.0,0.0,20230918,99991231
55,01,00175,0.0,0.0,0.0,0.0,20230918,99991231
55,01,00225,0.0,0.0,0.0,0.0,20230918,99991231
55,01,00275,0.0,0.0,0.0,0.0,20230918,99991231
55,01,00300,0.0,0.0,0.0,0.0,20230918,99991231
55,01,00325,0.0,0.0,0.0,0.0,20230918,99991231
55,01,00350,0.0,0.0,0.0,0.0,20230918,99991231
55,01,00425,0.0,0.0,0.0,0.0,20230918,99991231
55,01,00450,0.0,0.0,0.0,0.0,20230918,99991231
55,01,00475,0.0,0.0,0.0,0.0,20230918,99991231
55,01,00550,0.0,0.0,0.0,0.0,20230918,99991231
55,01,00600,0.0,0.0,0.0,0.0,20230918,99991231
55,01,00625,0.0,0.0,0.0,0.0,20230918,99991231
55,01,00675,0.0,0.0,0.0,0.0,20230918,99991231
55,01,00725,0.0,0.0,0.0,0.0,20230918,99991231
55,01,00750,0.0,0.0,0.0,0.0,20230918,99991231
55,01,00775,0.0,0.0,0.0,0.0,20230918,99991231
55,01,00800,0.0,0.0,0.0,0.0,20230918,99991231
55,01,00875,0.0,0.0,0.0,0.0,20230918,99991231
55,01,00900,0.0,0.0,0.0,0.0,20230918,99991231
55,01,00925,0.0,0.0,0.0,0.0,20230918,99991231
55,01,00950,0.0,0.0,0.0,0.0,20230918,99991231
55,01,01000,0.0,0.0,0.0,0.0,20230918,99991231
55,01,01025,0.0,0.0,0.0,0.0,20230918,99991231
55,01,01150,0.0,0.0,0.0,0.0,20230918,99991231
55,01,01225,0.0,0.0,0.0,0.0,20230918,99991231
55,01,01250,0.0,0.0,0.0,0.0,20230918,99991231
55,01,01275,0.0,0.0,0.0,0.0,20230918,99991231
55,01,01300,0.0,0.0,0.0,0.0,20230918,99991231
55,01,01325,0.0,0.0,0.0,0.0,20230918,99991231
55,01,01350,0.0,0.0,0.0,0.0,20230918,99991231
55,01,01375,0.0,0.0,0.0,0.0,20230918,99991231
55,01,01400,0.0,0.0,0.0,0.0,20230918,99991231
55,01,01425,0.0,0.0,0.0,0.0,20230918,99991231
55,01,01525,0.0,0.0,0.0,0.0,20230918,99991231
55,01,01550,0.0,0.0,0.0,0.0,20230918,99991231
